氏名,試合,完投,完了,当初,無点勝,無四球,勝利,敗戦,引分,打者,投球回,安打,本塁打,四死球,三振,失点,自責点,防御率,球数
髙須,6,0,2,4,0,0,3,1,0,101,26.0,17,0,8,31,4,4,1.38,422
篠木,8,0,1,7,0,0,3,3,0,206,51.0,40,1,20,40,11,8,1.41,771
伊藤樹,8,1,1,6,1,0,3,0,0,217,54.333333333333336,46,1,14,45,9,9,1.49,834
小畠,9,2,2,5,2,0,3,3,0,207,53.333333333333336,37,0,17,28,9,9,1.52,721
