氏名,試合,完投,完了,当初,無点勝,無四球,勝利,敗戦,引分,打者,投球回,安打,本塁打,四死球,三振,失点,自責点,防御率,球数
宮城,5,0,0,5,0,0,2,2,0,107,26.0,18,0,13,19,7,7,2.42,420
吉鶴,8,0,2,5,0,0,3,3,0,152,37.0,35,3,9,25,14,13,3.16,580
平田,7,0,2,5,0,0,0,5,0,117,22.0,36,0,17,16,32,18,7.36,439
鈴木太,5,0,0,2,0,0,0,3,0,105,20.333333333333332,33,1,14,10,25,21,9.3,367
