氏名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,犠打,四死球,三振,失策,打率
熊谷,11,44,34,7,16,2,1,0,20,5,1,6,4,6,1,0.471
宗山,13,60,50,10,20,3,0,2,29,12,0,1,9,1,1,0.4
尾瀬,13,61,49,11,19,3,0,0,22,5,0,1,11,6,0,0.388
石郷岡,13,47,33,7,12,3,0,0,15,6,2,2,12,5,0,0.364
印出,13,60,50,9,18,5,0,0,23,9,1,0,10,7,0,0.36
齋藤大,12,47,39,7,14,3,0,1,20,5,0,3,5,7,1,0.359
中山,12,45,41,4,14,1,0,1,18,4,1,1,3,8,1,0.341
小島河,13,53,50,6,17,3,3,1,29,12,0,2,1,5,0,0.34
前田,13,55,45,7,15,5,2,1,27,7,0,3,7,7,1,0.333
