氏名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,犠打,四死球,三振,失策,打率
前田,13,55,45,7,15,5,2,1,27,7,0,3,7,7,1,0.333 
水鳥,13,56,52,7,17,2,0,2,25,6,5,2,2,12,4,0.327 
姫木,11,44,40,0,13,2,0,0,15,4,0,0,4,6,0,0.325 
中津,14,66,53,9,17,2,0,2,25,8,3,2,11,7,0,0.321 
直井,13,64,51,6,16,3,1,0,21,4,2,3,10,4,0,0.314 
藤森康,14,55,51,7,15,3,0,1,21,4,2,1,3,11,0,0.294 
榊原,13,45,38,7,11,1,1,2,20,10,1,2,5,8,0,0.289 
小澤,13,54,47,7,13,2,0,0,15,3,3,2,5,2,1,0.277 
鈴木唯,14,53,41,6,11,2,2,0,17,3,3,2,10,8,1,0.268 
